#{"t_start": 1768744498.457636, "env_id": "BipedalWalker-v3"}
r,l,t
180.015791,1600,865.909517
234.463097,1600,874.799108
278.905395,1307,881.904632
280.511711,1354,889.107372
279.830181,1318,896.176564
275.915407,1360,903.566637
281.188109,1312,910.626998
273.264679,1359,918.056316
277.090931,1283,924.942807
281.562805,1251,931.911174
277.865354,1292,938.941796
281.071757,1283,945.996572
284.349917,1242,952.684949
287.764099,1252,959.427594
289.519415,1208,966.037877
286.334603,1172,972.362597
282.465373,1251,979.040362
287.61248,1173,985.295564
287.352189,1200,991.800492
290.155377,1150,997.964814
293.695162,1127,1003.968505
292.93108,1129,1010.184046
121.627169,892,1015.03409
291.420446,1099,1020.95318
287.637787,1114,1026.9384
67.717842,637,1030.422782
284.31614,1107,1036.581568
280.930115,1245,1043.442277
284.479693,1198,1049.895036
285.280629,1182,1056.35144
284.897395,1157,1062.659673
287.767202,1125,1068.733886
290.538161,1072,1074.481281
100.843399,790,1078.671997
288.680742,1138,1084.887065
288.663123,1080,1090.766712
288.074066,1078,1096.69613
291.163203,1038,1102.348222
294.892566,1023,1107.875701
294.303655,1051,1113.609438
292.25252,1053,1119.260823
295.187734,990,1124.628139
294.472923,1039,1130.415208
297.85847,979,1135.89618
295.636573,1014,1141.539267
301.5863,953,1146.819476
296.32314,986,1152.12721
294.522695,1019,1157.638324
292.475336,990,1162.927527
297.283129,963,1168.185153
299.918352,965,1173.336145
296.266054,987,1178.757196
295.68006,993,1184.009159
298.280524,974,1189.250237
295.388502,1000,1194.755367
299.393073,972,1200.114511
302.328679,956,1205.276644
299.810137,998,1210.771478
133.642417,792,1215.073858
296.169969,1012,1220.599378
296.069595,977,1225.952436
299.209194,941,1230.984449
295.815399,986,1236.238173
298.181807,975,1241.502713
296.864662,960,1246.655852
297.883447,945,1251.66463
296.381138,954,1256.705528
300.702561,926,1261.767856
298.560532,977,1267.0604
300.705236,927,1272.202476
301.300335,963,1277.305858
300.869612,914,1282.274945
305.311638,921,1287.151795
304.707262,930,1292.17351
304.289375,918,1297.046541
301.319972,912,1302.105794
303.08844,917,1307.239368
304.96697,931,1312.396281
303.581378,918,1317.444812
302.570287,943,1322.574057
302.916472,939,1327.612426
299.6193,950,1332.838118
292.000741,1030,1338.361458
300.061838,941,1343.436446
301.991185,931,1348.370704
301.621544,942,1353.429148
302.057725,932,1358.435463
302.926563,923,1363.386978
301.607131,916,1368.306363
301.527995,933,1373.509418
299.393425,950,1378.727239
305.407862,919,1383.744209
302.779243,894,1388.486137
305.507682,893,1393.24694
173.475075,788,1397.457212
308.629068,845,1401.96189
304.24678,868,1406.649022
300.424222,900,1411.477437
306.121438,891,1416.256764
302.186365,884,1420.962725
304.177949,917,1425.836865
304.040695,885,1430.556491
304.381454,888,1435.380688
307.32282,873,1440.084448
305.446852,891,1444.892542
305.301068,908,1449.810463
302.919954,910,1454.890566
306.898986,861,1459.651467
305.77414,850,1464.400687
307.389876,849,1469.16528
304.340339,894,1474.121534
307.557145,859,1478.918353
303.285439,868,1483.731935
303.918844,841,1488.414404
305.444099,840,1492.899277
302.504889,854,1497.579495
303.990849,857,1502.134771
305.005224,853,1506.766174
305.702964,867,1511.456823
305.748719,860,1516.135733
305.19978,868,1520.764656
302.84144,891,1525.637866
-35.419388,293,1527.295128
305.995555,885,1532.268675
306.232051,871,1537.126685
304.316592,877,1541.939979
306.61105,842,1546.630348
305.944889,861,1551.377704
307.451975,817,1555.898407
308.311825,847,1560.620628
307.17114,852,1565.252392
306.466584,853,1569.863466
309.717,801,1574.127362
305.85078,845,1578.62008
303.330878,896,1583.413842
309.888566,837,1587.89748
308.329483,860,1592.589286
308.601996,855,1597.124284
309.732188,865,1601.817434
308.779033,844,1606.343759
306.224561,852,1610.954622
306.904143,880,1615.688404
310.495215,810,1620.109489
309.851461,820,1624.544373
308.631743,824,1629.128325
307.839033,819,1633.640208
308.520975,830,1638.100242
309.254879,823,1642.550213
311.568096,826,1646.941783
310.028563,828,1651.518945
306.843021,834,1656.014605
-6.670945,301,1657.625358
309.048234,835,1662.111715
307.075514,814,1666.476588
307.693464,801,1670.734336
308.625062,819,1675.214105
306.297169,882,1679.930882
306.616494,829,1684.395708
311.04859,827,1688.817929
307.88717,855,1693.444435
307.146516,827,1697.923
310.505611,833,1702.456004
307.990111,822,1706.975496
308.257421,843,1711.555895
309.524564,821,1716.0672
307.394233,855,1720.824198
308.792441,827,1725.364395
308.034454,818,1729.913362
306.950409,835,1734.398409
310.803578,815,1738.747893
310.603246,830,1743.166898
309.538999,859,1747.77887
308.577199,829,1752.205879
309.166994,811,1756.525422
308.539963,818,1760.93562
309.967194,828,1765.353916
113.676769,597,1768.551853
308.099433,799,1772.782432
-32.466059,223,1773.956039
309.765582,809,1778.295359
310.390447,815,1782.717818
308.214324,810,1787.098763
309.776518,799,1791.541797
307.350286,819,1796.111789
310.493119,804,1800.418302
311.119802,787,1804.617135
