#{"t_start": 1768746534.8382254, "env_id": "BipedalWalker-v3"}
r,l,t
-141.466198,1600,1759.375183
-133.918163,1600,1763.448508
-195.088461,758,1767.089294
-238.497782,1399,1769.203579
-142.855104,1600,1772.758145
-196.544272,990,1776.550256
276.717626,1242,1779.065957
-135.212493,1600,1782.248574
-122.919574,1600,1786.280953
-131.832687,1600,1790.247583
283.360181,1148,1794.032344
283.731002,1138,1796.872782
287.981696,1080,1799.760478
282.545655,1138,1802.517842
283.353287,1125,1805.294731
288.309952,1118,1808.059017
288.023233,1087,1810.860203
293.346469,1030,1813.532113
286.530816,1134,1816.202997
283.79881,1141,1819.05467
293.058907,1019,1821.897275
286.109115,1086,1824.521549
291.272543,1042,1827.233167
288.991258,1048,1829.850186
289.623059,1057,1832.440917
288.517188,1084,1835.031155
291.925551,1040,1837.690648
284.994897,1095,1840.255072
285.442283,1082,1842.986665
-92.369756,133,1845.306584
286.6663,1082,1845.980504
288.672394,1048,1848.6223
290.838085,1031,1851.198969
286.110327,1091,1853.81355
284.156641,1126,1856.500151
287.812972,1046,1859.251157
287.635119,1073,1861.848197
286.579934,1087,1864.506916
287.654945,1049,1867.158896
289.388064,1016,1869.700514
283.931717,1099,1872.27423
284.321684,1065,1874.974182
292.563834,996,1877.649507
293.380161,989,1880.201933
290.615945,1015,1882.716004
291.183282,1041,1885.227232
281.399623,1095,1887.766882
287.197226,1040,1890.499433
292.21871,977,1893.156731
293.845962,1020,1895.67264
291.398906,998,1898.289888
288.494002,1010,1900.876706
283.118398,1070,1903.498903
285.105882,1045,1906.193951
288.641306,1025,1908.761338
288.084214,1064,1911.301198
291.787931,993,1913.890708
295.473332,947,1916.435101
288.761131,1030,1918.919702
291.328209,1016,1921.553537
289.784663,1013,1924.154371
287.54469,1100,1926.801553
-37.383508,327,1929.367178
286.147215,1073,1930.46511
296.035896,963,1933.160055
293.049428,1003,1935.631378
297.22068,949,1938.188675
289.592899,1074,1940.668181
280.292322,1136,1943.445675
293.473545,1002,1946.287061
287.616812,1081,1948.774484
-114.92787,1600,1951.592474
-170.456519,1408,1955.46214
-149.24229,402,1958.626552
-167.998852,654,1959.757028
-160.053377,595,1961.402012
